precrop	percrop_GROUP	"Precrop3cat (Perenial, Legumes, Other, Rice)"
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
oats	cereals	others
steppe	grassland/pasture/steppe/savanah	Perennial
steppe	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
maize	cereals	others
wheat	cereals	others
maize	cereals	others
wheat	cereals	others
wheat	cereals	others
maize	cereals	others
maize	cereals	others
wheat	cereals	others
maize	cereals	others
wheat	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
forest	perennials (trees/forests/plantations)	Perennial
forest	perennials (trees/forests/plantations)	Perennial
forest	perennials (trees/forests/plantations)	Perennial
forest	perennials (trees/forests/plantations)	Perennial
tomato	vegetables	others
tomato	vegetables	others
tomato	vegetables	others
tomato	vegetables	others
alfalfa	legumes	legumes
alfalfa	legumes	legumes
tomato	vegetables	others
alfalfa	legumes	legumes
alfalfa	legumes	legumes
alfalfa	legumes	legumes
alfalfa	legumes	legumes
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
maize	cereals	others
NA	NA	NA
maize	cereals	others
wheat	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
NA	NA	NA
maize	cereals	others
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
spring barley	cereals	others
grassland	grassland/pasture/steppe/savanah	Perennial
spring barley	cereals	others
spring barley	cereals	others
spring barley	cereals	others
spring barley	cereals	others
spring barley	cereals	others
spring barley	cereals	others
spring barley	cereals	others
spring barley	cereals	others
spring barley	cereals	others
spring barley	cereals	others
spring barley	cereals	others
spring barley	cereals	others
spring barley	cereals	others
spring barley	cereals	others
spring barley	cereals	others
spring barley	cereals	others
spring barley	cereals	others
spring barley	cereals	others
rice	rice	rice
rice	rice	rice
fallow	bare/fallow	Perennial
rice	rice	rice
Milk vetch	legumes	legumes
rice	rice	rice
Milk vetch	legumes	legumes
rice	rice	rice
fallow	bare/fallow	Perennial
rice	rice	rice
cabbage	vegetables	others
cucumber	vegetables	others
cabbage	vegetables	others
cucumber	vegetables	others
cucumber	vegetables	others
cucumber	vegetables	others
garlic	vegetables	others
cabbage	vegetables	others
cucumber	vegetables	others
cabbage	vegetables	others
cucumber	vegetables	others
cabbage	vegetables	others
barley	cereals	others
barley	cereals	others
barley	cereals	others
barley	cereals	others
barley	cereals	others
barley	cereals	others
barley	cereals	others
barley	cereals	others
barley	cereals	others
barley	cereals	others
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
rice wheat rotation	cereal-cereal/legume rotations	others
rice wheat rotation	cereal-cereal/legume rotations	others
rice wheat rotation	cereal-cereal/legume rotations	others
rice wheat rotation	cereal-cereal/legume rotations	others
rice wheat rotation	cereal-cereal/legume rotations	others
rice wheat rotation	cereal-cereal/legume rotations	others
rice wheat rotation	cereal-cereal/legume rotations	others
rice	rice	rice
maize	cereals	others
rice	rice	rice
maize	cereals	others
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
maize	cereals	others
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
rice	rice	rice
wheat	cereals	others
rice	rice	rice
wheat	cereals	others
rice	rice	rice
wheat	cereals	others
rice	rice	rice
wheat	cereals	others
rice	rice	rice
wheat	cereals	others
rice	rice	rice
wheat	cereals	others
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
wheat maize rotation	cereal-cereal/legume rotations	others
wheat maize rotation	cereal-cereal/legume rotations	others
wheat maize rotation	cereal-cereal/legume rotations	others
wheat maize rotation	cereal-cereal/legume rotations	others
wheat maize rotation	cereal-cereal/legume rotations	others
wheat maize rotation	cereal-cereal/legume rotations	others
wheat maize rotation	cereal-cereal/legume rotations	others
wheat maize rotation	cereal-cereal/legume rotations	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
barley	cereals	others
barley	cereals	others
barley	cereals	others
barley	cereals	others
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
fallow	bare/fallow	Perennial
fallow	bare/fallow	Perennial
fallow	bare/fallow	Perennial
fallow	bare/fallow	Perennial
fallow	bare/fallow	Perennial
fallow	bare/fallow	Perennial
sugarcane	"row crops (sugarcane, cotton, etc.)"	others
sugarcane	"row crops (sugarcane, cotton, etc.)"	others
sugarcane	"row crops (sugarcane, cotton, etc.)"	others
sugarcane	"row crops (sugarcane, cotton, etc.)"	others
sugarcane	"row crops (sugarcane, cotton, etc.)"	others
sugarcane	"row crops (sugarcane, cotton, etc.)"	others
sugarcane	"row crops (sugarcane, cotton, etc.)"	others
sugarcane	"row crops (sugarcane, cotton, etc.)"	others
sugarcane	"row crops (sugarcane, cotton, etc.)"	others
sugarcane	"row crops (sugarcane, cotton, etc.)"	others
sugarcane	"row crops (sugarcane, cotton, etc.)"	others
sugarcane	"row crops (sugarcane, cotton, etc.)"	others
sugarcane	"row crops (sugarcane, cotton, etc.)"	others
sugarcane	"row crops (sugarcane, cotton, etc.)"	others
sugarcane	"row crops (sugarcane, cotton, etc.)"	others
sugarcane	"row crops (sugarcane, cotton, etc.)"	others
vegetable	vegetables	others
vegetable	vegetables	others
vegetable	vegetables	others
vegetable	vegetables	others
vegetable	vegetables	others
vegetable	vegetables	others
vegetable	vegetables	others
vegetable	vegetables	others
vegetable	vegetables	others
vegetable	vegetables	others
vegetable	vegetables	others
vegetable	vegetables	others
vegetable	vegetables	others
vegetable	vegetables	others
vegetable	vegetables	others
vegetable	vegetables	others
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat maize rotation	cereal-cereal/legume rotations	others
wheat maize rotation	cereal-cereal/legume rotations	others
wheat maize rotation	cereal-cereal/legume rotations	others
wheat maize rotation	cereal-cereal/legume rotations	others
wheat maize rotation	cereal-cereal/legume rotations	others
wheat maize rotation	cereal-cereal/legume rotations	others
wheat maize rotation	cereal-cereal/legume rotations	others
wheat maize rotation	cereal-cereal/legume rotations	others
wheat maize rotation	cereal-cereal/legume rotations	others
wheat maize rotation	cereal-cereal/legume rotations	others
NA	NA	NA
lettuce	vegetables	others
lettuce	vegetables	others
lettuce	vegetables	others
lettuce	vegetables	others
lettuce	vegetables	others
lettuce	vegetables	others
lettuce	vegetables	others
lettuce	vegetables	others
lettuce	vegetables	others
lettuce	vegetables	others
lettuce	vegetables	others
lettuce	vegetables	others
NA	NA	NA
NA	NA	NA
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
NA	NA	NA
grassland	grassland/pasture/steppe/savanah	Perennial
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
soybean	legumes	legumes
soybean	legumes	legumes
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
soybean	legumes	legumes
NA	NA	NA
maize	cereals	others
soybean	legumes	legumes
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
maize	cereals	others
maize	cereals	others
maize	cereals	others
soybean	legumes	legumes
NA	NA	NA
NA	NA	NA
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
NA	NA	NA
NA	NA	NA
soybean	legumes	legumes
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
fallow	bare/fallow	Perennial
fallow	bare/fallow	Perennial
fallow	bare/fallow	Perennial
fallow	bare/fallow	Perennial
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
cereals	cereals	others
cereals	cereals	others
cereals	cereals	others
cereals	cereals	others
cereals	cereals	others
cereals	cereals	others
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
NA	NA	NA
maize	cereals	others
NA	NA	NA
maize	cereals	others
NA	NA	NA
maize	cereals	others
NA	NA	NA
maize	cereals	others
NA	NA	NA
maize	cereals	others
NA	NA	NA
maize	cereals	others
NA	NA	NA
maize	cereals	others
NA	NA	NA
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
ryegrass	grassland/pasture/steppe/savanah	Perennial
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rapeseed	cereals	others
rice	rice	rice
rapeseed	cereals	others
rice	rice	rice
rapeseed	cereals	others
rapeseed	cereals	others
rice	rice	rice
rice	rice	rice
rice	rice	rice
rapeseed	cereals	others
rapeseed	cereals	others
rapeseed	cereals	others
rice	rice	rice
rapeseed	cereals	others
rice	rice	rice
rapeseed	cereals	others
rice	rice	rice
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
wheat maize rotation	cereal-cereal/legume rotations 	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat maize rotation	cereal-cereal/legume rotations 	others
wheat maize rotation	cereal-cereal/legume rotations 	others
wheat maize rotation	cereal-cereal/legume rotations 	others
wheat	cereals	others
wheat maize rotation	cereal-cereal/legume rotations 	others
maize-rygrass	cereal-cereal/legume rotations	others
maize-rygrass	cereal-cereal/legume rotations	others
maize-rygrass	cereal-cereal/legume rotations	others
maize-rygrass	cereal-cereal/legume rotations	others
maize-rygrass	cereal-cereal/legume rotations	others
maize-rygrass	cereal-cereal/legume rotations	others
maize-rygrass	cereal-cereal/legume rotations	others
maize-rygrass	cereal-cereal/legume rotations	others
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
rice wheat rotation	cereal-cereal/legume rotations	others
rice wheat rotation	cereal-cereal/legume rotations	others
rice wheat rotation	cereal-cereal/legume rotations	others
rice wheat rotation	cereal-cereal/legume rotations	others
rice wheat rotation	cereal-cereal/legume rotations	others
rice wheat rotation	cereal-cereal/legume rotations	others
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
lupin	legumes	legumes
lupin	legumes	legumes
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
wheat–fallow	cereals	others
wheat–fallow	cereals	others
wheat–fallow	cereals	others
wheat–fallow	cereals	others
wheat–fallow	cereals	others
wheat–fallow	cereals	others
wheat–fallow	cereals	others
wheat–fallow	cereals	others
wheat–fallow	cereals	others
wheat–fallow	cereals	others
wheat–fallow	cereals	others
wheat–fallow	cereals	others
wheat–fallow	cereals	others
wheat–fallow	cereals	others
wheat–fallow	cereals	others
wheat–fallow	cereals	others
wheat–fallow	cereals	others
wheat–fallow	cereals	others
wheat	cereals	others
maize	cereals	others
wheat	cereals	others
maize	cereals	others
wheat	cereals	others
maize	cereals	others
wheat	cereals	others
maize	cereals	others
wheat maize rotation	cereal-cereal/legume rotations	others
NA	NA	NA
maize	cereals	others
NA	NA	NA
NA	NA	NA
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
wheat maize rotation	cereal-cereal/legume rotations	others
wheat maize rotation	cereal-cereal/legume rotations	others
wheat maize rotation	cereal-cereal/legume rotations	others
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
wheat	cereals	others
wheat	cereals	others
maize	cereals	others
maize	cereals	others
wheat	cereals	others
maize	cereals	others
wheat	cereals	others
maize	cereals	others
maize	cereals	others
wheat	cereals	others
maize	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
wheat	cereals	others
wheat	cereals	others
maize	cereals	others
wheat	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
wheat	cereals	others
wheat	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
wheat	cereals	others
wheat	cereals	others
maize	cereals	others
maize	cereals	others
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
maize-soybean rotation	cereal-cereal/legume rotations	others
maize-soybean rotation	cereal-cereal/legume rotations	others
maize-soybean rotation	cereal-cereal/legume rotations	others
maize-soybean rotation	cereal-cereal/legume rotations	others
maize-soybean rotation	cereal-cereal/legume rotations	others
maize-soybean rotation	cereal-cereal/legume rotations	others
barley	cereals	others
winter beans	legumes	legumes
winter oats	cereals	others
barley	cereals	others
barley	cereals	others
barley	cereals	others
winter oats	cereals	others
winter beans	legumes	legumes
barley	cereals	others
winter beans	legumes	legumes
winter beans	legumes	legumes
winter oats	cereals	others
barley	cereals	others
winter beans	legumes	legumes
winter oats	cereals	others
winter oats	cereals	others
winter beans	legumes	legumes
winter oats	cereals	others
barley	cereals	others
winter beans	legumes	legumes
winter oats	cereals	others
barley	cereals	others
winter beans	legumes	legumes
winter oats	cereals	others
barley	cereals	others
winter beans	legumes	legumes
winter oats	cereals	others
barley	cereals	others
winter beans	legumes	legumes
winter oats	cereals	others
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
fallow/grass	grassland/pasture/steppe/savanah	Perennial
Rape/winter barley	cereal-cereal/legume rotations	others
NA	NA	NA
NA	NA	NA
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
NA	NA	NA
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
NA	NA	NA
NA	NA	NA
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
maize	cereals	others
maize	cereals	others
maize	cereals	others
wheat	cereals	others
maize	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
maize	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
perennial ryegrass	grassland/pasture/steppe/savanah	Perennial
rice rapeseed rotation	cereal-cereal/legume rotations	others
rice rapeseed rotation	cereal-cereal/legume rotations	others
rice rapeseed rotation	cereal-cereal/legume rotations	others
rice rapeseed rotation	cereal-cereal/legume rotations	others
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
